date time srcip fqdn service category ua snd rcv
2016-06-11 14:33:32 192.168.0.5 www.sbmc.co.jp http banking safari 112 24764
2016-06-11 10:34:22 192.168.0.3 www.nic.ad.jp https technology firefox 214 2554
2016-06-11 14:25:45 192.168.0.2 uptime.netcraft.com https technology safari 986 67523
2016-06-11 09:22:21 192.168.0.4 www.mof.go.jp http government chrome 672 2554
2016-06-11 10:54:25 192.168.0.3 www.iij.ad.jp http service-provider chrome 246 24369
2016-06-11 19:11:31 192.168.0.5 www.soumu.go.jp http government firefox 196 3559
2016-06-11 14:33:32 192.168.0.5 www.sbmc.co.jp http banking safari 112 24764
2016-06-20 19:55:01 192.168.0.4 www.google.co.jp https search-engine safari 154 4552
2016-06-21 20:10:34 192.168.0.1 www.amazon.co.jp https shopping firefox 332 6554
2016-06-21 20:11:54 192.168.0.3 www.freebsd.org http computer chrome 458 1666514
2016-06-22 20:05:04 192.168.0.1 www.vector.co.jp https software vivaldi 655 499852
2016-06-29 18:25:45 192.168.0.2 www.ipa.go.jp https government opera 556 54723
2016-07-15 08:25:02 192.168.0.5 www.vector.co.jp https software vivaldi 321 1234
2016-07-16 18:22:12 192.168.0.1 www.google.co.jp https search-engine opera 231 4444
2017-02-16 18:22:12 192.168.0.1 www.google.co.jp https search-engine opera 142 3332
2017-03-21 10:10:34 192.168.0.2 www.amazon.co.jp https shopping opera 332 6553
2018-07-21 10:10:34 192.168.0.2 www.vector.co.jp https software opera 332 6553
2019-11-26 19:33:32 192.168.0.5 www.sbmc.co.jp http banking opera 112 24764
2019-11-27 19:33:32 192.168.0.5 www.sbmc.co.jp http banking opera 112 24764
